"city","state","name","email","phone","img_url","city_site_url","population"
"Springdale","AR","Doug Sprouse","dsprouse@springdalear.gov","479-750-8114","https://secure.usmayors.org/mayorphotos/Sprouse_Doug!2821.jpg","http://www.springdaleark.org","81029"
"Jonesboro","AR","Harold Perrin","hperrin@jonesboro.org","870-932-1052","https://secure.usmayors.org/mayorphotos/Perrin_Harold!568.jpg","http://www.jonesboro.org","76990"
"Rogers","AR","Greg Hines","ghines@rogersar.gov","479-621-1117","https://secure.usmayors.org/mayorphotos/Hines_Greg!2681.JPG","http://www.rogersar.gov","67600"
"Conway","AR","Bart Castleberry","mayor@cityofconway.org","501-450-6110","https://secure.usmayors.org/mayorphotos/Castleberry_Bart!53224.jpg","http://www.cityofconway.org","66426"
"North Little Rock","AR","Joe A. Smith","mayor@nlr.ar.gov","501-975-8601","https://secure.usmayors.org/mayorphotos/Smith_Joe!830.jpg","http://nlr.ar.gov","66127"
"Bentonville","AR","Stephanie Orman","sorman@bentonvillear.com","479-271-3112","https://secure.usmayors.org/mayorphotos/Orman_Stephanie!54465.jpg","http://www.bentonvillear.com","51111"
"Pine Bluff","AR","Shirley Washington","mayor@cityofpinebluff.com","870-730-2000","https://secure.usmayors.org/mayorphotos/Washington_Shirley!53296.jpg","http://www.cityofpinebluff.com","42271"
"Hot Springs","AR","Pat McCabe","pmccabe@levihospital.com","501-276-1409","https://secure.usmayors.org/mayorphotos/McCabe_Pat!54439.jpg","http://www.cityhs.net","37169"
"Benton","AR","Tom Farmer","info@bentonar.org","501-776-5906","https://secure.usmayors.org/mayorphotos/Farmer_Tom!54464.jpg","https://www.bentonar.org","36403"
"Sherwood","AR","Virginia Hillman Young","vyoung@cityofsherwood.net","501-835-6620","https://secure.usmayors.org/mayorphotos/Young_Virginia!3616.jpg","http://www.cityofsherwood.net","31237"
"Texarkana","AR","Allen L. Brown","ab@allenbrownmayor.com","870-773-1923","https://secure.usmayors.org/mayorphotos/Brown_Allen!54467.jpg","http://arkansas.txkusa.org","29972"
"Bella Vista","AR","Peter Christie","pchristie@bellavistaar.gov","","https://secure.usmayors.org/mayorphotos/Christie_Peter!54762.jpg","https://www.bellavistaar.gov","28511"
"Phoenix","AZ","Kate Gallego","mayor.gallego@phoenix.gov","602-262-7111","https://secure.usmayors.org/mayorphotos/Gallego_Kate!54678.jpg","http://www.phoenix.gov","1660272"
"Tucson","AZ","Regina Romero","mayor.romero@tucsonaz.gov","520-791-4201","https://secure.usmayors.org/mayorphotos/Romero_Romero!54772.jpg","http://www.tucsonaz.gov","545975"
"Mesa","AZ","John Giles","mayor@mesaaz.gov","480-644-2388","https://secure.usmayors.org/mayorphotos/Giles_John!732.jpg","http://www.mesaaz.gov","508958"
"Chandler","AZ","Kevin Hartke","kevin.hartke@chandleraz.gov","480-782-2200","https://secure.usmayors.org/mayorphotos/Hartke_Kevin!54553.jpg","http://www.chandleraz.org","257165"
"Scottsdale","AZ","W.J. 'Jim' Lane","jlane@scottsdaleaz.gov","480-312-2433","https://secure.usmayors.org/mayorphotos/Lane_WJ!1075.jpg","http://www.scottsdaleaz.gov","255310"
"Glendale","AZ","Jerry Weiers","mayorweiers@glendaleaz.com","623-930-2260","https://secure.usmayors.org/mayorphotos/Weiers_Jerry!441.jpg","http://www.glendaleaz.com","250702"
"Gilbert","AZ","Jenn Daniels","mayor@gilbertaz.gov","480-503-6860","https://secure.usmayors.org/mayorphotos/Daniels_Jenn!53110.jpg","http://www.gilbertaz.gov","248279"
"Tempe","AZ","Mark W. Mitchell","mark_mitchell@tempe.gov","480-350-8793","https://secure.usmayors.org/mayorphotos/Mitchell_Mark!1153.jpg","http://www.tempe.gov","192364"
"Peoria","AZ","Cathy Carlat","briana.decker@peoriaaz.gov","623-773-7306","https://secure.usmayors.org/mayorphotos/Carlat_Cathy!906.JPG","http://ci.peoria.az.us","172259"
"Surprise","AZ","Skip Hall","mayor@surpriseaz.gov","623-222-1300","https://secure.usmayors.org/mayorphotos/Hall_Skip!54530.jpg","http://www.surpriseaz.com","138161"
"Yuma","AZ","Douglas J. Nicholls","douglas.nicholls@yumaaz.gov","928-373-5002","https://secure.usmayors.org/mayorphotos/Nicholls_Douglas!1312.jpg","http://www.ci.yuma.az.us","97908"
"Avondale","AZ","Kenn Weise","kweise@avondaleaz.gov","623-333-1917","https://secure.usmayors.org/mayorphotos/Weise_Kenn!1408.jpg","https://www.avondaleaz.gov","85835"
"Goodyear","AZ","Georgia Lord","georgia.lord@goodyearaz.gov","623-882-7776","https://secure.usmayors.org/mayorphotos/Lord_Georgia!1934.JPG","http://www.goodyearaz.gov","82835"
"Buckeye","AZ","Jackie A. Meck","jmeck@buckeyeaz.gov","623-349-6949","https://secure.usmayors.org/mayorphotos/Meck_Jackie!3300.JPG","http://www.buckeyeaz.gov","74370"
"Flagstaff","AZ","Coral Evans","cevans@flagstaffaz.gov","928-774-5281","https://secure.usmayors.org/mayorphotos/Evans_Coral!53229.jpg","http://www.flagstaff.az.gov","73964"
"Casa Grande","AZ","Craig McFarland","craig_mcfarland@casagrandeaz.gov","520-421-8600","https://secure.usmayors.org/mayorphotos/McFarland_Craig!53223.jpg","http://casagrandeaz.gov","57232"
"Lake Havasu City","AZ","Cal Sheehy","sheehyc@lhcaz.gov","928-453-4152","https://secure.usmayors.org/mayorphotos/Sheehy_Cal!54502.jpg","http://www.lhcaz.gov","55090"
"Maricopa","AZ","Christian Price","christian.price@maricopa-az.gov","520-316-6828","https://secure.usmayors.org/mayorphotos/Price_Christian!3407.JPG","http://maricopa-az.gov","50024"
"Marana","AZ","Ed Honea","ehonea@marana.com","520-382-1999","https://secure.usmayors.org/mayorphotos/Honea_Ed!3495.jpg","http://www.marana.com","47007"
"Prescott Valley","AZ","Kell Palguta","council@pvaz.net","928-759-3000","https://secure.usmayors.org/mayorphotos/Palguta_Kell!54505.jpg","http://www.pvaz.net","45751"
"Oro Valley","AZ","Joe Winfield","jwinfield@orovalleyaz.gov","520-229-4991","https://secure.usmayors.org/mayorphotos/Winfield_Joe!54504.jpg","http://www.orovalleyaz.gov","45395"
"Sierra Vista","AZ","Rick Mueller","rick.mueller@sierravistaaz.gov","520-458-3315","https://secure.usmayors.org/mayorphotos/Mueller_Rick!1089.JPG","http://www.ci.sierra-vista.az.us","44420"
"Prescott","AZ","Greg Mengarelli","greg.mengarelli@prescott-az.gov","928-777-1100","https://secure.usmayors.org/mayorphotos/Mengarelli_Greg!53944.jpg","http://prescott-az.gov","43314"
"Queen Creek","AZ","Gail Barney","gail.barney@queencreek.org","480-987-9887","https://secure.usmayors.org/mayorphotos/Barney_Gail!2626.jpg","http://www.queencreek.org","42503"
"Apache Junction","AZ","Jeff Serdy","jserdy@ajcity.net","480-474-5066","https://secure.usmayors.org/mayorphotos/Serdy_Jeff!53297.jpg","http://www.ajcity.net","41739"
"Bullhead City","AZ","Tom Brady","tbrady@bullheadcity.com","928-763-0122","https://secure.usmayors.org/mayorphotos/Brady_Tom!1546.jpg","http://www.bullheadcity.com","40421"
"El Mirage","AZ","Alexis Hermosillo","ahermosillo@elmirageaz.gov","623-876-2924","https://secure.usmayors.org/mayorphotos/Hermosillo_Alexis!54501.jpg","http://www.cityofelmirage.org","35670"
"San Luis","AZ","Gerardo 'Jerry' Sanchez","gsanchez@cityofsanluis.org","928-341-8520","https://secure.usmayors.org/mayorphotos/Sanchez_Gerardo!3617.jpg","http://www.cityofsanluis.org","33490"
"Los Angeles","CA","Eric Garcetti","mayor.garcetti@lacity.org","213-978-0600","https://secure.usmayors.org/mayorphotos/Garcetti_Eric!665.jpg","http://www.lamayor.org/","3990456"
"San Diego","CA","Kevin L. Faulconer","kevinfaulconer@sandiego.gov","619-236-6330","https://secure.usmayors.org/mayorphotos/Faulconer_Kevin!1038.jpg","http://www.sandiego.gov","1425976"
"San Jose","CA","Sam Liccardo","mayoremail@sanjoseca.gov","408-535-4800","https://secure.usmayors.org/mayorphotos/Liccardo_Sam!1043.JPG","http://www.sanjoseca.gov","1030119"
"San Francisco","CA","London N. Breed","mayorlondonbreed@sfgov.org","415-554-6141","https://secure.usmayors.org/mayorphotos/Breed_London!54383.jpg","http://www.sfgov.org","883305"
"Fresno","CA","Lee Brand","mayor@fresno.gov","559-621-8000","https://secure.usmayors.org/mayorphotos/Brand_Lee!53218.jpg","http://www.fresno.gov","530093"
"Sacramento","CA","Darrell Steinberg","mayorsteinberg@cityofsacramento.org","916-808-5300","https://secure.usmayors.org/mayorphotos/Steinberg_Darrell!53170.jpg","http://www.cityofsacramento.org","508529"
"Long Beach","CA","Robert Garcia","mayor@longbeach.gov","562-570-6801","https://secure.usmayors.org/mayorphotos/Garcia_Robert!658.JPG","http://www.longbeach.gov","467354"
"Oakland","CA","Libby Schaaf","officeofthemayor@oaklandnet.com","510-238-3141","https://secure.usmayors.org/mayorphotos/Schaaf_Libby!855.JPG","http://www.oaklandnet.com","429082"
"Bakersfield","CA","Karen K. Goh","mayor@bakersfieldcity.us","661-326-3770","https://secure.usmayors.org/mayorphotos/Goh_Karen!53239.jpg","http://www.bakersfieldcity.us","383579"
"Anaheim","CA","Harry Sidhu","","714-765-5247","https://secure.usmayors.org/mayorphotos/Sidhu_Harry!54469.jpg","http://www.anaheim.net","352005"
"Santa Ana","CA","Miguel A. Pulido","mpulido@santa-ana.org","714-647-6900","https://secure.usmayors.org/mayorphotos/Pulido_Miguel!1057.JPG","http://www.santa-ana.org","332725"
"Riverside","CA","Rusty Bailey","rbailey@riversideca.gov","951-826-5551","https://secure.usmayors.org/mayorphotos/Bailey_Rusty!990.jpg","http://www.riversideca.gov","330063"
"Stockton","CA","Michael D. Tubbs","mayor@stocktonca.gov","209-937-8244","https://secure.usmayors.org/mayorphotos/Tubbs_Michael!53219.jpg","http://www.stocktongov.com","311178"
"Irvine","CA","Christina L. Shea","christinashea@cityofirvine.org","949-724-6233","https://secure.usmayors.org/mayorphotos/Shea_Christina!54699.jpg","http://www.cityofirvine.org","282572"
"Chula Vista","CA","Mary Casillas Salas","msalas@chulavistaca.gov","619-691-5044","https://secure.usmayors.org/mayorphotos/Salas_Mary!217.JPG","http://www.chulavistaca.gov","271651"
"Fremont","CA","Lily Mei","lmei@fremont.gov","510-284-4011","https://secure.usmayors.org/mayorphotos/0036100000y2SP6.jpg","http://www.fremont.gov","237807"
"San Bernardino","CA","John Valdivia","mayor@sbcity.org","909-384-5133","https://secure.usmayors.org/mayorphotos/Valdivia_John!54480.jpg","http://www.ci.san-bernardino.ca.us","215941"
"Modesto","CA","Ted Brandvold","mayor@modestogov.com","209-577-5230","https://secure.usmayors.org/mayorphotos/Brandvold_Ted!760.JPG","http://www.ci.modesto.ca.us","215030"
"Fontana","CA","Acquanetta Warren","awarren@fontana.org","909-350-7601","https://secure.usmayors.org/mayorphotos/Warren_Acquanetta!397.JPG","http://www.fontana.org","213739"
"Santa Clarita","CA","Cameron Smyth","csmyth@santa-clarita.com","661-255-4311","https://secure.usmayors.org/mayorphotos/Smyth_Cameron!54986.jpg","http://www.santa-clarita.com","210089"
"Oxnard","CA","Timothy B. Flynn","timbflynn@gmail.com","805-385-7430","https://secure.usmayors.org/mayorphotos/Flynn_Timothy!878.JPG","http://www.ci.oxnard.ca.us","209877"
"Moreno Valley","CA","Yxstian Gutierrez","yxstiang@moval.org","951-413-3008","https://secure.usmayors.org/mayorphotos/Gutierrez_Yxstian!774.JPG","http://www.ci.moreno-valley.ca.us","209050"
"Glendale","CA","Vrej Agajanian","vagajanian@glendaleca.gov","818-548-2090","https://secure.usmayors.org/mayorphotos/0034N00002iT6N1.jpg","https://www.glendaleca.gov/","201361"
"Huntington Beach","CA","Lyn Semeta","lyn.semeta@surfcity-hb.org","714-536-5553","https://secure.usmayors.org/mayorphotos/Semeta_Lyn!54913.jpg","https://www.huntingtonbeachca.gov/","200641"
"Ontario","CA","Paul S. Leon","pleon@ci.ontario.ca.us","909-395-2000","https://secure.usmayors.org/mayorphotos/Leon_Paul!866.JPG","http://www.ci.ontario.ca.us","181107"
"Rancho Cucamonga","CA","L Dennis Michael","council@cityofrc.us","909-477-2700","https://secure.usmayors.org/mayorphotos/Michael_Dennis!964.JPG","http://www.ci.rancho-cucamonga.ca.us","177751"
"Santa Rosa","CA","Tom Schwedhelm","tschwedhelm@srcity.org","707-543-3017","https://secure.usmayors.org/mayorphotos/Schwedhelm_Tom!54592.jpg","http://www.srcity.org","177586"
"Oceanside","CA","Peter Weiss","pweiss@ci.oceanside.ca.us","760-966-4401","https://secure.usmayors.org/mayorphotos/Weiss_Peter!54660.jpg","http://www.ci.oceanside.ca.us","176080"
"Elk Grove","CA","Steve Ly","stevely@elkgrovecity.org","916-478-2279","https://secure.usmayors.org/mayorphotos/Ly_Steve!53195.jpg","http://www.elkgrovecity.org","172886"
"Garden Grove","CA","Steven R. Jones","mayor@garden-grove.org","714-741-5104","https://secure.usmayors.org/mayorphotos/Jones_Steven!53307.jpg","http://www.ci.garden-grove.ca.us","172646"
"Corona","CA","Jim Steiner","jim.steiner@coronaca.gov","951-736-2370","https://secure.usmayors.org/mayorphotos/Steiner_Jim!54903.jpg","http://www.discovercorona.com","168819"
"Hayward","CA","Barbara Halliday","barbara.halliday@hayward-ca.gov","510-583-4340","https://secure.usmayors.org/mayorphotos/Halliday_Barbara!498.jpg","http://www.hayward-ca.gov","159620"
"Lancaster","CA","R Rex Parris","rrparris@cityoflancasterca.org","661-723-6019","https://secure.usmayors.org/mayorphotos/Parris_R_Rex!612.jpg","http://www.cityoflancasterca.org","159053"
"Palmdale","CA","Steven D. Hofbauer","shofbauer@cityofpalmdale.org","661-267-5100","https://secure.usmayors.org/mayorphotos/Hofbauer_Steven!54515.jpg","http://www.cityofpalmdale.org","156667"
"Salinas","CA","Joe Gunter","joe.gunter@ci.salinas.ca.us","831-758-7204","https://secure.usmayors.org/mayorphotos/Gunter_Joe!1030.JPG","http://www.ci.salinas.ca.us","156259"
"Sunnyvale","CA","Larry Klein","mayor@sunnyvale.ca.gov","408-730-7473","https://secure.usmayors.org/mayorphotos/Klein_Larry!54594.jpg","http://www.sunnyvale.ca.gov","153185"
"Pomona","CA","Tim Sandoval","mayor@ci.pomona.ca.us","909-620-2051","https://secure.usmayors.org/mayorphotos/Sandoval_Tim!53304.jpg","http://www.ci.pomona.ca.us","152361"
"Escondido","CA","Paul 'Mac' McNamara","pmcnamara@escondido.org","760-839-4610","https://secure.usmayors.org/mayorphotos/McNamara_Paul!54508.jpg","http://www.ci.escondido.ca.us","152213"
"Torrance","CA","Patrick J. Furey","pfurey@torranceca.gov","310-618-2801","https://secure.usmayors.org/mayorphotos/Patrick_Furey!1169.jpg","http://TorranceCa.gov","145182"
"Pasadena","CA","Terry Tornek","ttornek@cityofpasadena.net","626-744-4111","https://secure.usmayors.org/mayorphotos/Tornek_Terry!895.JPG","http://www.cityofpasadena.net","141371"
"Fullerton","CA","Jennifer Fitzgerald","jenniferf@cityoffullerton.com","714-738-6311","https://secure.usmayors.org/mayorphotos/Fitzgerald_Jennifer!54910.jpg","http://www.ci.fullerton.ca.us","139640"
"Orange","CA","Mark A. Murphy","citycouncil@cityoforange.org","714-744-2211","https://secure.usmayors.org/mayorphotos/Murphy_Mark!54513.jpg","http://www.cityoforange.org","139484"
"Roseville","CA","Bonnie Gore","bgore@roseville.ca.us","916-773-3632","https://secure.usmayors.org/mayorphotos/Gore_Bonnie!54499.jpg","http://roseville.ca.us","139117"
"Visalia","CA","Robert R. Link","bob.link@visalia.city","559-713-4512","https://secure.usmayors.org/mayorphotos/Link_Robert!54611.jpg","http://www.ci.visalia.ca.us","133800"
"Concord","CA","Tim McGallian","tim.mcgallian@cityofconcord.org","925-671-3158","https://secure.usmayors.org/mayorphotos/McGallian_Tim!54783.jpg","http://www.ci.concord.ca.us","129688"
"Santa Clara","CA","Lisa M. Gillmor","lgillmor@santaclaraca.gov","408-615-2250","https://secure.usmayors.org/mayorphotos/Gillmor_Lisa!53030.jpg","http://www.santaclaraca.gov","129488"
"Thousand Oaks","CA","Al Adam","aadam@toaks.org","805-449-2102","https://secure.usmayors.org/mayorphotos/Adam_Al!54941.jpg","https://www.toaks.org","127690"
"Simi Valley","CA","Keith L. Mashburn","kmashburn@simivalley.org","805-583-6701","https://secure.usmayors.org/mayorphotos/Mashburn_Keith!54518.jpg","https://www.simivalley.org/","125851"
"Victorville","CA","Gloria Garcia","ggarcia@ci.victorville.ca.us","760-955-5026","https://secure.usmayors.org/mayorphotos/Garcia_Gloria!1209.JPG","http://ci.victorville.ca.us","122312"
"Vallejo","CA","Bob Sampayan","mayor@cityofvallejo.net","707-648-4377","https://secure.usmayors.org/mayorphotos/Sampayan_Bob!53294.jpg","http://www.ci.vallejo.ca.us","121913"
"Berkeley","CA","Jesse Arreguin","jarreguin@cityofberkeley.info","510-981-7100","https://secure.usmayors.org/mayorphotos/Arreguin_Jesse!53240.jpg","http://www.ci.berkeley.ca.us","121643"
"Fairfield","CA","Harry T. Price","hprice@fairfield.ca.gov","707-428-7395","https://secure.usmayors.org/mayorphotos/Price_Harry!374.jpg","http://www.ci.fairfield.ca.us","116884"
"Carlsbad","CA","Matt Hall","council@carlsbadca.gov","760-434-2830","https://secure.usmayors.org/mayorphotos/Hall_Matt!177.JPG","http://www.ci.carlsbad.ca.us","115877"
"El Monte","CA","Andre Quintero","citycouncil@ci.el-monte.ca.us","626-580-2001","https://secure.usmayors.org/mayorphotos/Quintero_Andre!339.JPG","http://www.ci.el-monte.ca.us","115586"
"Murrieta","CA","Gene Winderlich","gwunderlich@murrietaca.gov","951-461-6019","https://secure.usmayors.org/mayorphotos/Winderlich_Gene!54925.jpg","http://www.murrieta.org","114985"
"Temecula","CA","James 'Stew' Stewart","james.stewart@citycouncil.org","951-506-5100","https://secure.usmayors.org/mayorphotos/Stewart_James!54988.jpg","http://www.cityoftemecula.org","114742"
"Costa Mesa","CA","Katrina Foley","katrina.foley@costamesaca.gov","714-754-5285","https://secure.usmayors.org/mayorphotos/Foley_Katrina!53257.jpg","http://www.costamesaca.gov","113615"
"Downey","CA","Blanca Pacheco","bpacheco@downeyca.org","562-904-7274","https://secure.usmayors.org/mayorphotos/Pacheco_Blanca!54782.jpg","http://www.downeyca.org","112269"
"Clovis","CA","Drew Bessinger","drewb@cityofclovis.com","559-324-2060","https://secure.usmayors.org/mayorphotos/Bessinger_Drew!54683.jpg","http://www.cityofclovis.com","112022"
"Antioch","CA","Sean Wright","swright@ci.antioch.ca.us","925-757-3309","https://secure.usmayors.org/mayorphotos/Wright_Sean!53238.jpg","http://www.ci.antioch.ca.us","111535"
"Ventura","CA","Matt LaVere","mlavere@cityofventura.ca.gov","805-654-7827","https://secure.usmayors.org/mayorphotos/LaVere_Matt!54661.jpg","http://www.ci.ventura.ca.us","111128"
"Richmond","CA","Thomas K. Butt","tom.butt@intres.com","510-620-6503","https://secure.usmayors.org/mayorphotos/Butt_Tom!985.JPG","http://www.ci.richmond.ca.us","110146"
"Inglewood","CA","James T. Butts Jr.","mayor@cityofinglewood.org","310-412-5300","https://secure.usmayors.org/mayorphotos/Butts_James!544.JPG","http://www.cityofinglewood.org","109419"
"Jurupa Valley","CA","Anthony Kelly Jr.","akelly@jurupavalley.org","951-332-6464","https://secure.usmayors.org/mayorphotos/Kelly_Anthony!54915.jpg","http://jurupavalley.org","108393"
"Santa Maria","CA","Alice M. Patino","apatino@cityofsantamaria.org","805-925-0951x188","https://secure.usmayors.org/mayorphotos/Patino_Alice!1064.jpg","http://www.ci.santa-maria.ca.us","107408"
"Daly City","CA","Glenn R. Sylvester","citycouncil@dalycity.org","650-991-8008","https://secure.usmayors.org/mayorphotos/Sylvester_Glenn!54905.jpg","http://www.dalycity.org","107008"
"West Covina","CA","Tony Wu","tony.wu@westcovina.org","626-939-8401","https://secure.usmayors.org/mayorphotos/Wu_Tony!54944.jpg","http://www.westcovina.org","106311"
"Norwalk","CA","Jennifer Perez","jperez@norwalkca.gov","562-929-5305","https://secure.usmayors.org/mayorphotos/0034N00002lFyVo.jpg","http://www.ci.norwalk.ca.us","105120"
"San Mateo","CA","Joe Goethals","jgoethals@cityofsanmateo.org","650-522-7522","https://secure.usmayors.org/mayorphotos/Goethals_Joe!54985.jpg","http://www.cityofsanmateo.org","105025"
"Burbank","CA","Sharon Springer","sspringer@burbankca.gov","818-238-5750","https://secure.usmayors.org/mayorphotos/Springer_Sharon!54898.jpg","http://www.ci.burbank.ca.us","103695"
"Rialto","CA","Deborah Robertson","robertsond@rialtoca.gov","909-820-2525","https://secure.usmayors.org/mayorphotos/Robertson_Deborah!980.jpg","http://www.rialtoca.gov","103440"
"El Cajon","CA","Bill Wells","bwells@cityofelcajon.us","619-441-1788","https://secure.usmayors.org/mayorphotos/Wells_Bill!336.JPG","https://www.cityofelcajon.us","103241"
"Vista","CA","Judy Ritter","jritter@cityofvista.com","760-726-1340","https://secure.usmayors.org/mayorphotos/Ritter_Judy!1214.JPG","http://www.cityofvista.com","101224"
"Vacaville","CA","Ron Rowlett","ron.rowlett@cityofvacaville.com","707-449-5100","https://secure.usmayors.org/mayorphotos/Rowlett_Ron!54519.jpg","http://www.ci.vacaville.ca.us","100154"
"San Marcos","CA","Rebecca Jones","rjones@san-marcos.net","760-744-1050","https://secure.usmayors.org/mayorphotos/Jones_Rebecca!54517.jpg","http://www.ci.san-marcos.ca.us","96847"
"Compton","CA","Aja Brown","ajabrown@comptoncity.org","310-605-5585","https://secure.usmayors.org/mayorphotos/Brown_Aja!242.jpg","http://www.comptoncity.org","96617"
"Hesperia","CA","Larry Bird","lbird@cityofhesperia.us","760-947-1030","https://secure.usmayors.org/mayorphotos/Bird_Larry!54565.jpg","http://www.cityofhesperia.us","95274"
"Mission Viejo","CA","Brian Goodell","bgoodell@cityofmissionviejo.org","949-470-3050","https://secure.usmayors.org/mayorphotos/Goodell_Brian!54897.jpg","http://cityofmissionviejo.org","95202"
"Chico","CA","Randall Stone","randall.stone@chicoca.gov","530-895-4811","https://secure.usmayors.org/mayorphotos/Stone_Randall!54607.jpg","http://www.chico.ca.us","94776"
"South Gate","CA","Maria Bel�n Bernal","mbernal@sogate.org","323-563-9543","https://secure.usmayors.org/mayorphotos/Bernal_Maria!54286.jpg","http://www.cityofsouthgate.org","94443"
"Menifee","CA","Bill Zimmerman","bzimmerman@cityofmenifee.us","951-672-6777","https://secure.usmayors.org/mayorphotos/Zimmerman_Bill!54440.jpg","http://cityofmenifee.us","92595"
"Carson","CA","Albert Robles","arobles@carson.ca.us","310-952-1700","https://secure.usmayors.org/mayorphotos/Robles_Albert!182.jpg","http://ci.carson.ca.us","91909"
"Tracy","CA","Robert Rickman","council@ci.tracy.ca.us","209-831-4100","https://secure.usmayors.org/mayorphotos/Rickman_Robert!53305.jpg","http://www.ci.tracy.ca.us","91812"
"Redding","CA","Adam McElvain","amcelvain@cityofredding.org","530-225-4447","https://secure.usmayors.org/mayorphotos/McElvain_Adam!54934.jpg","http://www.ci.redding.ca.us","91772"
