name,county,state,phone,email,website,address,city,zip,img_url
Sheriff John McMahon,San Bernardino,CA,(909) 387-3400,kkesler@sbcsd.org,www.sanbernardinosheriff.org,,,,https://doc-08-8k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/fbbbflejlnki8ksq7u5cqlvqbg/1591896600000/sxIlIdZoLh4xI8i-L7KBCC7xYQoVdnSk/*/6AF2TALr4lKR6lgjqCiQ_JRk5WyVeJbIEDIk6vhc9-sfiNIlDW9vSsZDamVtv4MarVr1jGDpeuPhnB5pZ6mwzmuw1t61k1GNKeJ9VHReKBybPUtw-GESObRBO2xN7Xoyo1dAiWq9XeVyNVIy8SwLJHYzwJ0fgJWctvyaosnWNKQTlp-d_B6j6HrJm0jTNREp8hrEc2YMBbfb2Y6YvGao65-q9Xqnrbaj39NP-8ZK92kpmN3nt3wcA4Hidm7gAjUDrto8N8qeUlC_kBS20YnVPyWK05Y4vTZit5w?session\\u003d0\\u0026fife\
Sheriff- Coroner Chad Bianco,Riverside,CA,(951) 955-2400,webmgr@riversidesheriff.org,www.riversidesheriff.org,,,,https://doc-0s-8k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/auvjr5bs88tkrevqr1so6433s0/1591896600000/sxIlIdZoLh4xI8i-L7KBCC7xYQoVdnSk/*/6AF2TALpn4Omd5zbaprKzKJumpFCJtLbK8_2TJtVxzKiPqOMLdQlZvmMlZtrLRzVIKAUmGf9S7lXyYGtsOQmfz7bCyTlbk_dAPShdVRJYrconHvU-KGCsb3_WuoTGswDrk-82amcCOsU2Gz0Za-YdqI_mfqWYdfWZQYZ0XqZQXfXw-dh18OBnmejFsEJobNLZIzz0HKxS9bKCHmwIO0i7ZhMtyQhM6w0mqNiMfUTtBFEgHnxLD_TwB9kaxJoNQso3S98v9wUEW-1ibxvnrK3zf6PNBWnVOx7DkQ?session\\u003d0\\u0026fife\
Sheriff-Coroner Don Barnes,Orange,CA,(714) 647-1800,,www.ocsd.org,,,,https://www.ocsd.org/images/sheriff/command/executive/SheriffBarnes_Uniform72DPI_1.jpg
Sheriff William Gore,San Diego,CA,(858) 974-2240,bill.gore@sdsheriff.org,www.sdsheriff.net,,,,https://doc-0k-8k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/nnkenj9ieqcll23m3ulv6g4drc/1591896600000/sxIlIdZoLh4xI8i-L7KBCC7xYQoVdnSk/*/6AF2TALo0S4L3QpE5xbqSj3_X78gDx4aH6bE-lqFGuDsGnf2-0n9mqITEjnpqoVs6sHkbA2-u9WYR_KwL_UAMKIXITmUgXQhY4qC9siDkLVE-ScCsgRBomfJlZgEgkFBowl6xURxR6edJVKyvRtZ3mP7XFwVAZx5N4IR5n5Qxx4_ZCqziaYZG0786SIXQOssDk4Bm7GzuLTCBC-mG8R-IMptTxgKC6ZWXZvOKcRJS_7K_h_O4xQrv5H2MFVSG7Fo6-WWyN2pU5aUGLK4JxZcc2GZHbYATAsS43w?session\\u003d0\\u0026fife\
Sheriff Jeff Shrader,Jefferson,CO,(303) 271-5305,sheriff@jeffco.us,www.jeffcosheriff.com,,,,https://doc-0s-8k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/ela0fhqcpjjl8b2em69gdh6pqc/1591896600000/sxIlIdZoLh4xI8i-L7KBCC7xYQoVdnSk/*/6AF2TALouZeZ7DsJtdAbh6eTLR7iD_BqIo7Z2k8I1WZZYf730iZuy8AjfZww08tpDzS-z_wlZ2wsxpBsY8QzbYdYXFhL538uVkkm6IcLE4gzxMdxRD2M-IY0OVEJLS-ujwRvl21txtptSRb417EwvswHKkDI4d_qB_ev3ZPfK8_0L39yECEPJdHs-zzgo6OeCqJ-ZNGOxtrWIZhQNgXp2g8UiUk7WBws9iNXZ_C1VOD9Z5wLhfbcVeOUM2DNcyrxakhlUZQ_VuHcYzQw54Cn2JNp9k8n9REFFkA?session\\u003d0\\u0026fife\
Sheriff Patrick Firman,Denver,CO,(720) 337-0094,,www.denvergov.org/sheriff,PO Box 1108,Denver,80201-1108,https://doc-0k-8k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/7kd7opkc3ekujd8vnfb63brbe8/1591896600000/sxIlIdZoLh4xI8i-L7KBCC7xYQoVdnSk/*/6AF2TALphXRVIN_r0ub8MQjLDdjRFV9ax68gTeXi97oQlrQVmlvf1SaribIcW7uOrgJZZiVd9SKC2elKQEVjXqKh0zg8ajdg2ge8TxpoFiSJt2_-EFfNSwxEt3ln2kJ3HJ8S23HwTtlYrH4ZLS1wC5jMacFhO5lDWla0lIkdxEmuTcyfeQQU68K0Mjx4W_cAUkz_07GNtOuBojosqc6Tm0zSbEt04OWtb_fIDkdOj57uCfo6hp0C2mand36AqMwdhe3BAf3HzjGoL31ph13GvRwELuTxLZ2LFUw?session\\u003d0\\u0026fife\
Sheriff Tyler Brown,Arapahoe,CO,(720) 874-4176,sheriff@arapahoegov.com,www.arapahoesheriff.org,,,,https://doc-0s-8k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/51kt51lqce41jlf3q7vthkghno/1591896600000/sxIlIdZoLh4xI8i-L7KBCC7xYQoVdnSk/*/6AF2TALrkL2HwRTb0FtfgbSq9MoegEEOelvvoNU6mXw_XHJE2a1r9PTJP5WLtQsxI2LUTJW6qSTdZ19bLClUO1U3_wgD9Yej_-Xg946EPaHwZwx0IsD2qzuaQyNjKNcAYxqcXGKLOn-5vyw-aQPOO8JIBRfvGo7eNEvJo9AqY4iQ8hdGrrUwyUtCtZpVmJgYXU0aYfAO9D15AoF4vB0iRkYykCU7reAcXgKJwjZ19vSYpy0-BSqsn0asg8sbQ7wKUcnTLLXs56TuMtB8JWFJxp3OelImRuSyCag?session\\u003d0\\u0026fife\
Sheriff Mike Williams,Duval,FL,(904) 630-2120,joanne.seach@jaxsheriff.org,www.jaxsheriff.org,,,,https://doc-0o-8k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/cju4nj2mp21mekg9oaf6c2conk/1591896600000/sxIlIdZoLh4xI8i-L7KBCC7xYQoVdnSk/*/6AF2TALohPEYSspRfBxQjgB8MN6xASYwYIUP1qZDVq7L01kobfOLL60YsGW7ev0SLU_opX85eyHuV5RopHxvKmybFoe4Z4auHxp8VG0OaFv7-ne5kQpBEzONY726dvNXsdBHjiGG_yi2LAKKvyY9PQwKhUfk8TqcuQbPhbVsdzN4eZBCwONQCuJMpK334br6tnt-w6GdMG2kCgf73b-SYzckvDfdGwhPJmArnnOM6o9y3s63ssLxqV10f8cRFwG1XDKJ9uAejlzyWX_ooJ1ZbdoelmPaNY40yuQ?session\\u003d0\\u0026fife\
Sheriff Wayne Ivey,Brevard,FL,(321) 264-5201,sheriff@bcso.us,www.brevardsheriff.com,,,,https://doc-0s-8k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/59jaorl4uv4cirgv0gdkf6pans/1591896600000/sxIlIdZoLh4xI8i-L7KBCC7xYQoVdnSk/*/6AF2TALpnoa6coQv1jYx2woGx3_c6chV0GqodR8_HivCc4R2fgdF6JKCn0IAhk9ah3_xv7SREzYJlqU1DOfvJSOE5NT0RlfnZAOmKcwUw91zphzZ6J8kFfCPMHAbcYvHRavanHbUsCqkkHEmJENgryVXUH-G8FIh1fBg4U5JN2D7OfJLsSMO_Ce-0jINfqSon-oCcwu3z4i4VNQyTHjf_a1JLKqjUtOagcin22jhPsTEeM00AH55-57l_PNgIihDjR3ayzVRqv0DyE729aIIzOE8m0N-0wlaO1A?session\\u003d0\\u0026fife\
Sheriff Michael Chitwood,Volusia,FL,(386) 736-5961,,www.volusiasheriff.org,,,,https://doc-14-8k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/bsoc3gkat1fepdp1nklio72v64/1591896600000/sxIlIdZoLh4xI8i-L7KBCC7xYQoVdnSk/*/6AF2TALrUBpjxNc881UZN7Ee_IubTwwen-3PuqJ5_JX_SE5ZDwrL-afIl4ByjImjkJbZOqQ3VNioiHr6BdYEeG8MNMOag1ux_lswAKdJxVuL6_Erctc0-nG95LkFK1pubQVbBqOF1CCFjd3UTQq6OkPh5ZhmNhafE4ZJLp-s-Fat_iP0WmaE28bc53UAFYjNNpJ9YfoyfTTFDCyb8dw5G70dP8Vuoba_232j8zPtivYsjHNVnRyS7-rYxTPjGCDDQSrQkpdrJWkfNWR91C_-XwyVIgDworrICSg?session\\u003d0\\u0026fife\
Sheriff Dennis Lemma,Seminole,FL,(407) 665-6635,sheriff@seminolesheriff.org,www.seminolesheriff.org,,,,https://doc-0k-8k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/2c01fedka58005q8uhs1ia63fg/1591896600000/sxIlIdZoLh4xI8i-L7KBCC7xYQoVdnSk/*/6AF2TALrsJ_VSBx5lXHKtQS7kjW6MUG59PHgQzOpIpPV3DCK2kv6vVktfOD7J2QA7h_VxvmurytaE_jqV-EaAG2Ym6bXhC6wcmPSGfJk4frHllJjj0YardvnpM6oJWPh4hm5Dwm1ZG1Ji8VA8xLExxnutCepImt-WtvIvTea7b2gll7URkutL5euG5R-8VH_ul8CqvLGqOf6_LyKceSbMdVHOHxgLRlWdAZRHEFfKNvwG_M9FtInhcnl9pMRHITVyGDUWDwO4PSbmnQ5IOLFhh32LOCy6s4bPag?session\\u003d0\\u0026fife\
Sheriff John Mina,Orange,FL,(407) 254-7018,jerry.demings@ocfl.net,www.ocso.com,PO Box 1440,Orlando,32804-1440,https://doc-14-8k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/vsgnr2okggt5tigoj81guta17s/1591896600000/sxIlIdZoLh4xI8i-L7KBCC7xYQoVdnSk/*/6AF2TALrJ3y4i8a5JKR9vJwfJZDMgT-kHbpp5rnw9OOvva9l9GlFRwKGsKN6wTiWqvtFoHod2EH8X3OTtNb0U6kQJF5GTObmrz2N7Of9NRnUADQvbkOLqlZg4n-4zKuazy-uG29HooROQRmv2kMyD5FxNKmNGPzTbPoYdS7ky96_Eqj4q_7m9-_e1TPNqLVNXCzpXLM9lb8LLN_Ehf4bSlrA6tZ0ydO8h1ZwYUTXD2sBvwXH0ODTGYHQlJWbn5O_GTq6KsGEP3zK_qLnGhXPEnPJaeJm4jY8XNQ?session\\u003d0\\u0026fife\
Sheriff Grady Judd,Polk,FL,(863) 298-6647,gjudd@polksheriff.org,www.polksheriff.org,,,,https://doc-10-8k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/9f36ugmsst397mu3e8nbqjrodg/1591896600000/sxIlIdZoLh4xI8i-L7KBCC7xYQoVdnSk/*/6AF2TALpqcTu4ZAog7i6o2xZtOQAiLfKYkj_7qCVzw4TPsooT85tFc99z14YGjyRdrXznKV3ai6T3Pa7GG2Tyc8AobXncBgkgi8aRZKcp7eq43LLAgvcPDfrJ43ocpQzxM7qsHrAhiZFlZv7UQl2ELqALgYGLdGqpYT42Zgz_BjwNCXFg1uq24BQhuBWRq7NXi6nwubSXn6w_rVAgi04cdEv1mqltzQ8vRTmxBUMMXOOI2BvhgGyy3MiFEA5v_NJYA0SUoyX9pKBA2iH5FVPSe0zKxUl0_bq4bw?session\\u003d0\\u0026fife\
Sheriff Christopher Nocco,Pasco,FL,(727) 844-7700,mspreadbury@pascosheriff.org,www.pascosheriff.com,,,,https://doc-0c-8k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/vnv4lc4aqqhqdkbhsneihcsv6s/1591896600000/sxIlIdZoLh4xI8i-L7KBCC7xYQoVdnSk/*/6AF2TALqpMENYkjx9RalW2SWyGKjJq5nVYik9K55ZD9xqHHET_1t_QSgnw1NK8-FWeJh17RIbWq4R6QTNqYa2noFYsawo2ipfZTQutB5A0FfXM5ME4VejTO94sdCK7nbSPsA_Xv9sL7V7iFcdPkYZPR6-BzfK_a37kfaNe3KI8-B07GW5WOZXOCk0h53DA-3ILlDsohGVikQ4xoykOoJhkdYR3ErwHQPkcR-dFkwGMULTgFgCKmxyuY5XwkDwERRsWgU6IoT5fNVpazZKobYncy6H9fS6lrT7EA?session\\u003d0\\u0026fife\
Sheriff Chad Chronister,Hillsborough,FL,(813) 247-8000,cchronis@hcso.tampa.fl.us,www.hcso.tampa.fl.us,PO Box 3371,Tampa,33601-3371,https://doc-10-8k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/eeceu9u2rqi1eq2ql7k2ss9tnk/1591896600000/sxIlIdZoLh4xI8i-L7KBCC7xYQoVdnSk/*/6AF2TALoI4frH7mgHwp3kL4fOBRHyJHn7vQGaJUSvWUsbBhgxFYwMO7sIF3W_5bIVySI3k1Ve_5hZhaiIxqzpF8q4CP5DaRyZEhmsReyzAY94bzpE5Xz32b36jT9cWutJ2dGJCcN52h5He1SCWyk39fwUpwUI4i0lbuNtlzbCi3Q1ZFy-k-67_MGZHFszF-sz7FfR5KLOS94XY9v8pk8OVp_9zUC9ecImb6UMvlvoEX6jprhisq93dPfBBx--usfhQkZr8ZhqbpIaz6iUpMd_BpphT060-N9DvQ?session\\u003d0\\u0026fife\
Sheriff Bob Gualtieri,Pinellas,FL,(727) 582-6206,rgualtieri@pcsonet.com,www.pcsoweb.com,,,,https://doc-0s-8k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/k4dg6j3rh299j37bfnr25di3ug/1591896600000/sxIlIdZoLh4xI8i-L7KBCC7xYQoVdnSk/*/6AF2TALrwdN-w3IPw_943rcvrmjocY2IqtW2lFJeFfhqShiYct4F4bcEz6ZwWZHFa3Mlmu69BSlNQs6v6SV0s_PSIp_d7iSY_IrsnJKMf7FRnB5YYet57iOh-3KHGD3IsZm5oTzvl61YesAppYfFTU-HeR01s7VRXXOI4_8dU4ukCc1rzXiqlTMEBCS24HV0dnX31yCV8lQ7Pnqwe_g0fhhvaTcMuKRqxEc8Obj1ZWJFGpS9d4-2EF2E4Eh2mWTdkuxkpJ0hfquDh6GLd2YGeX2Lfpd_CqcqhBg?session\\u003d0\\u0026fife\
Sheriff Thomas Knight,Sarasota,FL,(941) 861-4008,srq@scgov.net,www.sarasotasheriff.org,PO Box 4115,Sarasota,34230-4115,https://doc-14-8k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/c76ndj9j8hpe0t6nvheec4n9jo/1591896600000/sxIlIdZoLh4xI8i-L7KBCC7xYQoVdnSk/*/6AF2TALpF4UfEwAhTjHhspzWy9HOuSr9ELHgpwcXY-r39BqMfZ-lz9QsRCSHD5m9I8kebFMrVwS-AojDb7rV6GTKzFGfsad48qJBw_tNMJLZbjtQ6n8FuVtdb9d72JqMZzwcwEGhygDbv-ygVMOK5nb1T2L5eZ7VoYOQgg_BpV5YBQAdRBCRDNHWOL2HdsYrlMAQyCXxjOH6HDucRI42hrrZ37o-5Xy7Ag5kiWoMAOm3mpDbf9lc_i2gME5Rr2PukTB5sBPsm_vh6w2EINePbmcfzwUE4AeDZ1w?session\\u003d0\\u0026fife\
